major_abbr,pathway,College,iqr_min,q1,median,q3,iqr_max
SASIAN,0,College of Arts and Sciences,3.1,3.1,3.866666,3.941666,3.941666
CM    ,50,Built Environments,3.037931,3.29375,3.386206,3.558064,3.823333
ACMS  ,20,College of Arts and Sciences,3.46923,3.566666,3.65625,3.755555,3.985714
ENGL  ,20,College of Arts and Sciences,2.8,3.35,3.581818,3.75,3.966666
NORW  ,0,College of Arts and Sciences,2.873913,3.14,3.2,3.371428,3.528571
GEOG  ,0,College of Arts and Sciences,1.8875,2.629166,2.925,3.210526,4.0
CHEM E,5,College of Engineering,3.277777,3.397368,3.6349400000000003,3.757142,3.966666
JAPAN ,0,College of Arts and Sciences,2.315384,2.92,3.323529,3.57037,4.0
CHEM E,0,College of Engineering,3.068888,3.490909,3.6180555,3.792307,4.0
MEDXD ,0,School of Medicine,3.1,3.409523,3.5715905,3.680952,3.909523
T MGMT,0,Milgard School of Business,2.24,2.933333,3.2,3.492857,4.0
BSE   ,0,College of the Environment,2.233333,2.941666,3.143846,3.438235,3.866666
FINANC,0,Foster Business School,2.714285,3.305263,3.536842,3.7,4.0
HPS   ,0,College of Arts and Sciences,2.69375,3.084615,3.426666,3.433333,3.435483
ACMS  ,80,College of Arts and Sciences,3.042105,3.042105,3.042105,3.042105,3.042105
TENSCI,20,Interdisciplinary Arts and Sciences,2.45,2.45,3.266666,3.522222,3.522222
B BUS ,10,Business,2.516666,3.192307,3.4045449999999997,3.648484,4.0
T URB ,0,Urban Studies,2.26,2.847058,3.0513885,3.483333,3.955555
ENGL  ,0,College of Arts and Sciences,2.185714,3.0375,3.43,3.677777,4.0
DRAMA ,0,College of Arts and Sciences,2.683333,3.138461,3.4225,3.7,3.9
ETHNOM,60,College of Arts and Sciences,3.10909,3.46,3.5706249999999997,3.91,3.91
MED T ,0,School of Medicine,2.758333,3.162857,3.4513154999999998,3.646153,3.942857
MATH  ,70,College of Arts and Sciences,2.456,3.05,3.334782,3.514285,3.804
